Random Search
id,x,y,cost
126,1822,1668,732
148,3825,1576,145
94,3944,1385,108
75,3736,103,646
57,3999,1093,628
99,3586,1263,451
9,3503,1542,610
187,2813,30,216
68,2040,690,962
6,1456,1804,329
186,2851,343,952
137,3433,28,262
19,810,808,692
27,2,879,400
44,449,1756,847
31,632,506,215
116,990,1092,808
55,2959,1326,289
113,3325,479,63
130,3461,1269,475
83,3014,1243,741
161,1973,1935,708
129,2991,504,888
46,895,10,959
176,3281,586,6
144,1992,864,486
196,234,358,990
67,981,1513,893
117,513,566,31
141,2098,6,25
77,2282,296,81
41,2359,715,786
110,3208,1020,990
87,1866,460,712
118,1204,1227,591
54,637,536,299
26,3278,370,683
58,2105,393,876
182,1595,1058,485
13,1889,1720,411
183,3276,1559,31
168,1848,1559,75
173,905,550,707
138,1706,1019,244
180,3274,562,635
61,1736,127,313
97,2352,181,604
194,3437,588,248
132,1833,1789,381
65,1655,1900,908
106,2905,891,68
20,3731,1803,11
47,3907,1503,174
48,3793,578,792
103,3241,318,302
143,2702,900,336
164,655,486,690
32,240,1344,797
82,2005,510,381
37,2339,880,952
147,1085,1811,147
177,1450,398,52
157,1690,787,856
96,170,1403,826
69,2371,1434,856
1,278,832,247
135,277,1305,92
127,3238,171,238
35,2314,1089,132
62,2964,1170,51
181,3209,1224,935
191,817,1510,609
38,70,984,384
84,2347,1997,874
16,119,890,585
89,3196,229,303
114,3431,256,381
33,1893,1017,78
134,1424,1502,419
10,592,1848,471
115,747,1840,797
155,2452,1841,197
39,2132,1084,891
158,1118,954,743
11,1777,1185,330
119,2735,684,850
24,321,724,832
36,1677,73,103
101,3478,1919,906
190,667,101,52
4,3337,1928,515
140,3287,1689,60
53,2920,1809,791
7,1420,157,945
169,1713,1818,92
21,1820,435,299
45,1060,195,505
174,3115,1498,766
160,1978,992,421
163,3078,311,182
126,1822,1668,732

Nearest Neighbor
id,x,y,cost
16,119,890,585
1,278,832,247
117,513,566,31
31,632,506,215
54,637,536,299
193,579,472,333
190,667,101,52
80,673,52,170
175,1131,69,131
5,1191,249,141
177,1450,398,52
36,1677,73,103
61,1736,127,313
141,2098,6,25
77,2282,296,81
153,2717,358,51
163,3078,311,182
176,3281,586,6
113,3325,479,63
166,3525,715,67
86,3382,964,27
185,3525,1112,27
179,3749,1066,205
94,3944,1385,108
47,3907,1503,174
148,3825,1576,145
20,3731,1803,11
60,3979,1762,164
28,3485,1906,229
140,3287,1689,60
183,3276,1559,31
152,2909,1748,83
18,2954,1253,65
62,2964,1170,51
124,2932,989,109
106,2905,891,68
143,2702,900,336
0,2249,1105,40
29,2154,1156,28
109,2279,1148,144
35,2314,1089,132
33,1893,1017,78
138,1706,1019,244
11,1777,1185,330
168,1848,1559,75
169,1713,1818,92
188,1622,1862,198
70,2012,1975,87
3,2116,1873,105
145,2043,1713,221
15,2085,1797,350
155,2452,1841,197
189,2383,1648,502
34,2834,1384,245
55,2959,1326,289
95,3370,1235,263
130,3461,1269,475
99,3586,1263,451
22,3619,1219,596
66,3928,1338,512
154,3958,1389,782
57,3999,1093,628
172,3848,995,539
194,3437,588,248
103,3241,318,302
127,3238,171,238
89,3196,229,303
137,3433,28,262
114,3431,256,381
165,3139,124,509
187,2813,30,216
146,2640,88,715
81,2453,462,379
111,2184,746,270
8,1946,680,119
104,1842,787,381
21,1820,435,299
82,2005,510,381
144,1992,864,486
160,1978,992,421
139,1680,1260,362
182,1595,1058,485
25,1309,801,319
121,846,1034,10
90,767,1474,99
122,425,1514,155
135,277,1305,92
63,32,1428,56
40,7,1897,120
107,73,1855,324
100,114,1710,594
133,514,1770,371
10,592,1848,471
147,1085,1811,147
6,1456,1804,329
134,1424,1502,419
51,1000,1347,314
98,1116,1294,697
118,1204,1227,591
74,1300,1251,646
16,119,890,585

